arch,reg,accuracy,macro_f1,f1_normal,f1_laringite,f1_disfonia_psicogenica,f1_disfonia_funcional,f1_reinke,param_count_master,param_count_expert,mean_time_per_epoch_sec,mean_epochs_to_stop
A,light,0.683060,0.436486,0.867820,0.369748,0.312849,0.197802,0.434211,11266,11524,0.122967,72.4667
A,baseline,0.692168,0.423855,0.865154,0.401709,0.242038,0.175000,0.435374,11266,11524,0.124599,78.7333
A,strong,0.679417,0.391057,0.839081,0.311321,0.220588,0.195804,0.388489,11266,11524,0.121898,77.7333
B,light,0.693989,0.445235,0.872180,0.382222,0.317073,0.227027,0.427673,5634,5764,0.063355,82.6000
B,baseline,0.685792,0.411756,0.857710,0.392857,0.217687,0.144578,0.445946,5634,5764,0.062934,84.5000
B,strong,0.666667,0.369114,0.825397,0.323810,0.189781,0.103704,0.402878,5634,5764,0.061187,83.9333
C,light,0.687614,0.443061,0.876751,0.383333,0.292398,0.265306,0.397516,19394,19524,0.242970,76.6667
C,baseline,0.696721,0.458656,0.866941,0.398230,0.329545,0.242424,0.456140,19394,19524,0.257150,80.5333
C,strong,0.656648,0.372282,0.804525,0.294416,0.191176,0.133333,0.437956,19394,19524,0.250603,74.1000
D,light,0.700364,0.474058,0.882270,0.404959,0.340206,0.262857,0.480000,21410,21476,0.262809,76.8000
D,baseline,0.704007,0.471794,0.869210,0.384615,0.361809,0.253012,0.490323,21410,21476,0.275896,87.2667
D,strong,0.609290,0.277709,0.789541,0.155556,0.156863,0.016000,0.270588,21410,21476,0.255374,46.4000
