feature_idx,importance_acc,importance_f1
2,0.009993,0.010196
4,0.007975,0.010680
5,0.009174,0.009524
6,0.009050,0.013425
7,0.006380,0.011767
8,0.008174,0.008544
9,0.015476,0.026136
10,0.002698,0.006685
11,0.006368,0.013652
12,0.007232,0.006053
13,0.015104,0.021759
14,0.008182,0.017969
15,-0.005443,-0.006747
16,0.009058,0.011983
19,0.000942,0.002756
20,0.022680,0.023164
21,0.006356,0.018607
22,0.017265,0.023358
23,0.015456,0.019245
24,0.004533,0.011155
25,0.014542,0.024745
26,0.009120,0.012480
27,0.006372,0.013585
28,0.009042,0.016177
29,0.002682,0.005800
30,-0.002781,-0.001549
31,0.008158,0.009223
32,0.004509,0.012294
33,0.000893,0.000069
34,0.010930,0.015152
35,0.011864,0.016693
36,-0.000033,0.000780
37,0.021824,0.033931
38,0.012719,0.027313
39,0.009951,0.012330
40,0.002690,0.002875
41,0.015439,0.026712
42,0.002657,0.008341
43,0.008967,0.011068
44,0.009009,0.015117
45,0.018349,0.031794
58,0.003653,0.014588
59,-0.000029,0.003383
60,0.007277,0.008237
61,0.006397,0.009923
62,0.008178,0.012342
63,0.002703,0.000096
64,0.011786,0.018842
65,0.009976,0.013813
66,0.004554,0.008975
71,0.007966,0.012978
72,0.000000,-0.011310
73,0.011823,0.015183
74,0.005451,0.008207
76,0.016626,0.018967
77,0.013762,0.024990
78,0.004530,0.007299
80,0.004504,0.012894
81,0.002283,0.003359
82,0.001116,0.004680
83,-0.004505,-0.002299
86,0.007228,0.002718
87,0.015551,0.021496
88,0.005409,0.014082
89,0.010893,0.012507
90,0.010881,0.019641
91,0.002748,0.006624
92,0.005438,0.006899
93,0.021877,0.029321
94,0.002653,0.011046
95,-0.002769,0.023348
97,0.010552,0.007622
98,0.014526,0.014127
99,0.003620,0.004150
100,0.006364,0.012471
101,0.010897,0.011852
102,0.007199,0.011128
103,0.005331,0.011540
104,0.009964,0.014324
105,0.002699,0.005393
106,0.008203,0.015514
107,0.002732,0.011815
108,0.009972,0.009864
109,0.010901,0.016205
110,0.003636,0.009276
111,0.000000,0.008399
112,0.005434,0.010828
113,0.006331,0.012941
114,0.000934,0.001546
115,0.005438,0.007591
116,-0.001831,0.003014
117,-0.001843,-0.002064
118,0.009046,0.012092
119,0.008207,0.007928
120,0.003044,0.002713
121,0.002724,0.001517
122,-0.003694,0.001292
123,0.000897,0.008130
124,0.001116,0.003040
133,0.000000,-0.001391
137,0.005451,0.007571
138,0.003583,-0.001722
139,0.010029,0.013470
140,-0.002748,-0.002581
141,0.003608,0.007525
142,0.004480,0.006037
143,0.011798,0.019216
144,0.003603,0.007590
145,0.009959,0.007134
148,0.000000,-0.000203
149,0.004499,0.008340
150,0.000021,0.004725
152,0.003632,0.005424
153,0.003645,0.006683
154,0.001152,-0.000649
155,0.004587,0.012424
156,0.002294,0.005564
159,0.006849,0.011280
160,0.007487,0.010694
162,0.000004,-0.002404
165,0.010889,0.017586
166,0.006368,0.016971
167,0.006368,0.012305
168,0.007248,0.011962
169,0.001843,0.002636
170,0.004583,0.003760
171,0.018199,0.020566
172,0.003562,0.011930
173,0.001839,0.003738
174,0.014563,0.021978
175,0.013707,0.012097
177,0.004509,0.001197
178,0.022715,0.027833
179,0.009075,0.017394
180,0.000851,0.004845
181,0.009972,0.011081
182,0.001793,0.001872
183,0.001810,-0.003916
184,0.005426,0.012323
185,0.007265,0.014866
186,0.002682,0.004474
187,0.005434,0.013688
188,0.000868,0.004529
189,0.004542,-0.001599
190,0.002989,0.000924
191,0.005430,0.010502
192,0.003624,0.003440
193,0.010054,0.015640
194,0.006323,0.006333
195,0.007252,0.014832
196,0.004533,0.007419
197,0.008199,0.018238
198,0.006389,0.011995
199,0.003574,0.008731
200,0.005459,0.009523
201,0.002707,0.008718
202,0.001839,0.006626
206,0.015899,0.024918
216,0.007257,0.013211
217,0.003641,0.008714
218,0.001789,0.006293
219,-0.000917,0.000180
220,0.002727,0.008672
221,0.004554,0.000916
222,0.004500,0.007003
223,0.001806,0.004742
224,0.000942,0.001705
229,0.000000,-0.000552
231,0.002732,0.001485
232,0.002699,0.002048
233,0.007981,0.012303
235,0.001152,0.001082
236,0.004562,0.003384
