fold,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1,4.719172,0.2343,1.443438,0.4640,0.3341
1,2,2.600320,0.3154,1.348638,0.5405,0.3503
1,3,2.279440,0.3732,1.279195,0.5856,0.3587
1,4,2.127496,0.4193,1.258931,0.5946,0.3637
1,5,2.056869,0.4411,1.216431,0.5721,0.3419
1,6,1.978261,0.4746,1.201026,0.5766,0.3587
1,7,1.923934,0.4854,1.161992,0.5901,0.3455
1,8,1.864656,0.5150,1.139655,0.5901,0.3547
1,9,1.804428,0.5500,1.119561,0.5856,0.3897
1,10,1.763505,0.5439,1.109793,0.6081,0.4143
1,11,1.705243,0.5857,1.113336,0.5811,0.3704
1,12,1.644195,0.6068,1.099605,0.5811,0.3892
1,13,1.573499,0.6236,1.110131,0.5586,0.3404
1,14,1.538978,0.6529,1.096946,0.5811,0.4112
1,15,1.504912,0.6507,1.094697,0.5586,0.3726
1,16,1.473590,0.6625,1.129196,0.5856,0.4208
1,17,1.438921,0.6875,1.078593,0.5946,0.4086
1,18,1.373179,0.7046,1.111187,0.5766,0.3911
1,19,1.372640,0.7032,1.100019,0.5676,0.3841
1,20,1.349833,0.7161,1.112419,0.5495,0.3619
1,21,1.303944,0.7136,1.076706,0.5946,0.3848
1,22,1.246008,0.7418,1.106429,0.5856,0.3893
1,23,1.246922,0.7454,1.129439,0.5766,0.4016
1,24,1.217330,0.7632,1.114226,0.5721,0.3940
1,25,1.197717,0.7607,1.116848,0.5766,0.3862
1,26,1.173667,0.7732,1.102615,0.5946,0.4062
1,27,1.154992,0.7746,1.099494,0.6036,0.4130
1,28,1.140882,0.7825,1.170746,0.5811,0.4083
1,29,1.110214,0.7907,1.160636,0.5631,0.3589
1,30,1.101664,0.7914,1.119719,0.6171,0.4145
1,31,1.084168,0.8000,1.170332,0.5856,0.3919
1,32,1.092574,0.8032,1.134110,0.5991,0.3874
1,33,1.060040,0.8025,1.178363,0.5766,0.3757
1,34,1.050510,0.8150,1.165154,0.5946,0.3620
1,35,1.028692,0.8221,1.153175,0.5901,0.3643
1,36,1.033444,0.8200,1.163923,0.5766,0.3806
1,37,1.015960,0.8268,1.186215,0.5721,0.3801
1,38,1.001238,0.8329,1.214419,0.5631,0.3679
1,39,0.986819,0.8389,1.202681,0.5991,0.3869
1,40,0.985840,0.8268,1.192698,0.5946,0.3823
1,41,1.004044,0.8243,1.210945,0.5991,0.3843
1,42,0.956998,0.8389,1.221329,0.5766,0.3679
1,43,0.964779,0.8368,1.251590,0.5586,0.3705
1,44,0.951695,0.8418,1.252790,0.5901,0.3945
1,45,0.949643,0.8454,1.266577,0.5721,0.3487
1,46,0.965476,0.8382,1.230607,0.5991,0.3873
2,1,5.216348,0.2364,1.413788,0.3982,0.2559
2,2,2.653634,0.3282,1.310556,0.4751,0.2473
2,3,2.302332,0.3839,1.206632,0.5701,0.2764
2,4,2.104137,0.4293,1.210768,0.5792,0.2894
2,5,1.966395,0.4729,1.208495,0.5792,0.2962
2,6,1.920978,0.4982,1.184383,0.5928,0.3104
2,7,1.850698,0.5289,1.160527,0.6018,0.3369
2,8,1.771717,0.5468,1.129511,0.6063,0.3297
2,9,1.700010,0.5625,1.145713,0.5928,0.3471
2,10,1.682359,0.5750,1.092965,0.5928,0.3120
2,11,1.627115,0.5943,1.107073,0.5928,0.3168
2,12,1.582944,0.6218,1.157228,0.5701,0.3243
2,13,1.524619,0.6404,1.152669,0.5837,0.3450
2,14,1.515668,0.6454,1.128720,0.5792,0.3233
2,15,1.476788,0.6543,1.100263,0.6018,0.3329
2,16,1.458398,0.6557,1.114300,0.5973,0.3486
2,17,1.415430,0.6821,1.129823,0.5837,0.3313
2,18,1.382676,0.6807,1.115455,0.5882,0.3327
2,19,1.367849,0.6964,1.095337,0.6018,0.3314
2,20,1.334253,0.7161,1.147493,0.5928,0.3396
2,21,1.293543,0.7164,1.118079,0.6109,0.3474
2,22,1.282065,0.7254,1.141818,0.6018,0.3402
2,23,1.255341,0.7407,1.143011,0.5928,0.3476
2,24,1.228497,0.7421,1.136382,0.5882,0.3317
2,25,1.214662,0.7557,1.138154,0.6199,0.3586
2,26,1.201940,0.7579,1.140832,0.6244,0.3420
2,27,1.193008,0.7604,1.133828,0.6425,0.3650
2,28,1.167736,0.7718,1.149164,0.6380,0.3704
2,29,1.135891,0.7775,1.176381,0.6109,0.3562
2,30,1.128633,0.7700,1.142189,0.6425,0.3618
2,31,1.107407,0.7882,1.142427,0.6335,0.3518
2,32,1.097665,0.7857,1.160793,0.6380,0.3625
2,33,1.084082,0.7911,1.157088,0.6471,0.3759
2,34,1.070479,0.8039,1.179922,0.6244,0.3617
2,35,1.096133,0.7968,1.178607,0.6290,0.3839
2,36,1.054492,0.8089,1.176039,0.6425,0.3671
2,37,1.055746,0.8082,1.180140,0.6335,0.4000
