fold,vowel,network,feature_idx,mu,lambda,gc,gct,selected
0,0,master,0,0.054911,0.863224,-0.808313,-0.081866,1
0,0,master,1,0.054937,0.864360,-0.809422,-0.080703,1
0,0,master,2,0.053295,0.848997,-0.795702,-0.097709,1
0,0,master,3,0.077976,0.759860,-0.681884,-0.162163,1
0,0,master,4,0.079329,0.733215,-0.653886,-0.187455,1
0,0,master,5,0.061094,0.797632,-0.736538,-0.141275,1
0,0,master,6,0.078643,0.767790,-0.689147,-0.153567,1
0,0,master,7,0.006980,0.975337,-0.968357,-0.017683,1
0,0,master,8,0.053180,0.953534,-0.900354,0.006714,1
0,0,master,9,0.007759,0.950104,-0.942345,-0.042137,1
0,0,master,10,0.014467,0.980835,-0.966367,-0.004698,1
0,0,master,11,0.045722,0.826643,-0.780921,-0.127635,1
0,0,master,12,0.002940,0.954774,-0.951834,-0.042287,1
0,0,master,13,0.003424,0.988342,-0.984918,-0.008234,1
0,0,master,14,0.009921,0.992665,-0.982743,0.002586,1
0,0,master,15,0.005928,0.983042,-0.977114,-0.011029,1
0,0,master,16,0.076116,0.899002,-0.822886,-0.024882,1
0,0,master,17,0.039723,0.789224,-0.749501,-0.171053,1
0,0,master,18,0.044303,0.840040,-0.795737,-0.115657,1
0,0,master,19,0.000148,0.998701,-0.998553,-0.001151,1
0,0,master,20,0.050312,0.955319,-0.905007,0.005631,1
0,0,master,21,0.069685,0.962175,-0.892490,0.031860,1
0,0,master,22,0.088377,0.955601,-0.867224,0.043978,1
0,0,master,23,0.016754,0.967107,-0.950354,-0.016139,1
0,0,master,24,0.000000,0.994536,-0.994536,-0.005464,1
0,0,master,25,0.025675,0.977043,-0.951368,0.002718,1
0,0,master,26,0.007261,0.996495,-0.989234,0.003755,1
0,0,master,27,0.007702,0.982267,-0.974565,-0.010031,1
0,0,master,28,0.038931,0.950650,-0.911719,-0.010419,1
0,0,master,29,0.006791,0.969429,-0.962638,-0.023780,1
0,0,master,30,0.000022,0.975031,-0.975009,-0.024947,1
0,0,master,31,0.006652,0.996508,-0.989856,0.003160,1
0,0,master,32,0.026477,0.794183,-0.767706,-0.179341,1
0,0,master,33,0.032982,0.820584,-0.787602,-0.146434,1
0,0,master,34,0.035267,0.890491,-0.855224,-0.074242,1
0,0,master,35,0.066723,0.944804,-0.878080,0.011527,1
0,0,master,36,0.066192,0.938948,-0.872755,0.005140,1
0,0,master,37,0.043028,0.940992,-0.897963,-0.015980,1
0,0,master,38,0.052801,0.958555,-0.905754,0.011355,1
0,0,master,39,0.052823,0.946747,-0.893924,-0.000429,1
0,0,master,40,0.037302,0.940313,-0.903011,-0.022386,1
0,0,master,41,0.036509,0.947134,-0.910625,-0.016356,1
0,0,master,42,0.044400,0.914129,-0.869729,-0.041471,1
0,0,master,43,0.063590,0.929242,-0.865652,-0.007167,1
0,0,master,44,0.045483,0.932733,-0.887250,-0.021785,1
0,0,master,45,0.022817,0.780101,-0.757284,-0.197081,1
0,0,master,46,0.028794,0.837284,-0.808490,-0.133922,1
0,0,master,47,0.037504,0.890402,-0.852899,-0.072094,1
0,0,master,48,0.070636,0.939819,-0.869183,0.010455,1
0,0,master,49,0.067778,0.945608,-0.877830,0.013386,1
0,0,master,50,0.037750,0.950504,-0.912754,-0.011746,1
0,0,master,51,0.044565,0.957142,-0.912577,0.001707,1
0,0,master,52,0.044290,0.948913,-0.904623,-0.006798,1
0,0,master,53,0.037329,0.947936,-0.910607,-0.014735,1
0,0,master,54,0.036662,0.945492,-0.908829,-0.017846,1
0,0,master,55,0.038039,0.925764,-0.887725,-0.036197,1
0,0,master,56,0.065087,0.939125,-0.874038,0.004212,1
0,0,master,57,0.042611,0.940012,-0.897401,-0.017378,1
0,0,master,58,0.103915,0.938311,-0.834396,0.042226,1
0,0,master,59,0.013447,0.957524,-0.944077,-0.029029,1
0,0,master,60,0.005071,0.941849,-0.936777,-0.053080,1
0,0,master,61,0.003842,0.500000,-0.496158,-0.496158,1
0,0,master,62,0.003842,0.500067,-0.496225,-0.496092,1
0,0,master,63,0.000568,0.964683,-0.964114,-0.034749,1
0,0,master,64,0.035319,0.938575,-0.903257,-0.026106,1
0,0,master,65,0.001513,0.967040,-0.965528,-0.031447,1
0,0,master,66,0.002025,0.953560,-0.951535,-0.044415,1
0,0,master,67,0.000189,0.973436,-0.973247,-0.026376,1
0,0,master,68,0.000000,0.982404,-0.982403,-0.017596,1
0,0,master,69,0.000521,0.795246,-0.794724,-0.204233,1
0,0,master,70,0.003803,0.950120,-0.946316,-0.046077,1
0,0,master,71,0.009103,0.765541,-0.756438,-0.225356,1
0,0,master,72,0.003999,0.975120,-0.971121,-0.020882,1
0,0,master,73,0.034724,0.862235,-0.827511,-0.103040,1
0,0,master,74,0.033598,0.881426,-0.847828,-0.084976,1
0,0,master,75,0.022079,0.953617,-0.931538,-0.024304,1
0,0,master,76,0.003103,0.998583,-0.995480,0.001686,1
