class,threshold,precision,recall
0,1.0000,1.000000,0.000000
0,0.9900,0.700000,0.010189
0,0.9800,0.800000,0.029112
0,0.9700,0.848485,0.040757
0,0.9600,0.878049,0.052402
0,0.9500,0.893617,0.061135
0,0.9400,0.916667,0.080058
0,0.9300,0.906667,0.098981
0,0.9200,0.911111,0.119360
0,0.9100,0.913462,0.138282
0,0.9000,0.904348,0.151383
0,0.8900,0.905512,0.167394
0,0.8800,0.911765,0.180495
0,0.8700,0.907285,0.199418
0,0.8600,0.909677,0.205240
0,0.8500,0.901235,0.212518
0,0.8400,0.883041,0.219796
0,0.8300,0.887640,0.229985
0,0.8200,0.881081,0.237263
0,0.8100,0.886598,0.250364
0,0.8000,0.888889,0.267831
0,0.7900,0.884793,0.279476
0,0.7800,0.884444,0.289665
0,0.7700,0.878261,0.294032
0,0.7600,0.884298,0.311499
0,0.7500,0.883534,0.320233
0,0.7400,0.886364,0.340611
0,0.7300,0.887681,0.356623
0,0.7200,0.887324,0.366812
0,0.7100,0.888889,0.372635
0,0.7000,0.892617,0.387191
0,0.6900,0.893688,0.391557
0,0.6800,0.892063,0.409025
0,0.6700,0.892308,0.422125
0,0.6600,0.891892,0.432314
0,0.6500,0.887608,0.448326
0,0.6400,0.884181,0.455604
0,0.6300,0.877717,0.470160
0,0.6200,0.875332,0.480349
0,0.6100,0.875000,0.489083
0,0.6000,0.871795,0.494905
0,0.5900,0.870647,0.509461
0,0.5800,0.870098,0.516739
0,0.5700,0.864608,0.529840
0,0.5600,0.860140,0.537118
0,0.5500,0.859410,0.551674
0,0.5400,0.855234,0.558952
0,0.5300,0.854664,0.573508
0,0.5200,0.854077,0.579330
0,0.5100,0.857442,0.595342
0,0.5000,0.858316,0.608442
0,0.4900,0.859155,0.621543
0,0.4800,0.854043,0.630277
0,0.4700,0.848369,0.643377
0,0.4600,0.849341,0.656477
0,0.4500,0.848429,0.668122
0,0.4400,0.836918,0.679767
0,0.4300,0.830420,0.691412
0,0.4200,0.827586,0.698690
0,0.4100,0.827703,0.713246
0,0.4000,0.827815,0.727802
0,0.3900,0.825163,0.735080
0,0.3800,0.822866,0.743814
0,0.3700,0.820350,0.751092
0,0.3600,0.819466,0.759825
0,0.3500,0.815217,0.764192
0,0.3400,0.807927,0.771470
0,0.3300,0.806548,0.788937
0,0.3200,0.806122,0.804949
0,0.3100,0.800570,0.818049
0,0.3000,0.796634,0.826783
0,0.2900,0.792066,0.842795
0,0.2800,0.786863,0.854440
0,0.2700,0.783180,0.867540
0,0.2600,0.777778,0.876274
0,0.2500,0.771863,0.886463
0,0.2400,0.767123,0.896652
0,0.2300,0.759804,0.902475
0,0.2200,0.753920,0.909753
0,0.2100,0.742621,0.915575
0,0.2000,0.741481,0.918486
0,0.1900,0.740698,0.927220
0,0.1800,0.731735,0.933042
0,0.1700,0.730552,0.943231
0,0.1600,0.728682,0.957787
0,0.1500,0.723987,0.962154
0,0.1400,0.717204,0.970888
0,0.1300,0.709609,0.978166
