class,threshold,tpr,fpr
0,1.0000,0.000000,0.000000
0,0.9900,0.010189,0.007299
0,0.9800,0.029112,0.012165
0,0.9700,0.040757,0.012165
0,0.9600,0.052402,0.012165
0,0.9500,0.061135,0.012165
0,0.9400,0.080058,0.012165
0,0.9300,0.098981,0.017032
0,0.9200,0.119360,0.019465
0,0.9100,0.138282,0.021898
0,0.9000,0.151383,0.026764
0,0.8900,0.167394,0.029197
0,0.8800,0.180495,0.029197
0,0.8700,0.199418,0.034063
0,0.8600,0.205240,0.034063
0,0.8500,0.212518,0.038929
0,0.8400,0.219796,0.048662
0,0.8300,0.229985,0.048662
0,0.8200,0.237263,0.053528
0,0.8100,0.250364,0.053528
0,0.8000,0.267831,0.055961
0,0.7900,0.279476,0.060827
0,0.7800,0.289665,0.063260
0,0.7700,0.294032,0.068127
0,0.7600,0.311499,0.068127
0,0.7500,0.320233,0.070560
0,0.7400,0.340611,0.072993
0,0.7300,0.356623,0.075426
0,0.7200,0.366812,0.077859
0,0.7100,0.372635,0.077859
0,0.7000,0.387191,0.077859
0,0.6900,0.391557,0.077859
0,0.6800,0.409025,0.082725
0,0.6700,0.422125,0.085158
0,0.6600,0.432314,0.087591
0,0.6500,0.448326,0.094891
0,0.6400,0.455604,0.099757
0,0.6300,0.470160,0.109489
0,0.6200,0.480349,0.114355
0,0.6100,0.489083,0.116788
0,0.6000,0.494905,0.121655
0,0.5900,0.509461,0.126521
0,0.5800,0.516739,0.128954
0,0.5700,0.529840,0.138686
0,0.5600,0.537118,0.145985
0,0.5500,0.551674,0.150852
0,0.5400,0.558952,0.158151
0,0.5300,0.573508,0.163017
0,0.5200,0.579330,0.165450
0,0.5100,0.595342,0.165450
0,0.5000,0.608442,0.167883
0,0.4900,0.621543,0.170316
0,0.4800,0.630277,0.180049
0,0.4700,0.643377,0.192214
0,0.4600,0.656477,0.194647
0,0.4500,0.668122,0.199513
0,0.4400,0.679767,0.221411
0,0.4300,0.691412,0.236010
0,0.4200,0.698690,0.243309
0,0.4100,0.713246,0.248175
0,0.4000,0.727802,0.253041
0,0.3900,0.735080,0.260341
0,0.3800,0.743814,0.267640
0,0.3700,0.751092,0.274939
0,0.3600,0.759825,0.279805
0,0.3500,0.764192,0.289538
0,0.3400,0.771470,0.306569
0,0.3300,0.788937,0.316302
0,0.3200,0.804949,0.323601
0,0.3100,0.818049,0.340633
0,0.3000,0.826783,0.352798
0,0.2900,0.842795,0.369830
0,0.2800,0.854440,0.386861
0,0.2700,0.867540,0.401460
0,0.2600,0.876274,0.418491
0,0.2500,0.886463,0.437956
0,0.2400,0.896652,0.454988
0,0.2300,0.902475,0.476886
0,0.2200,0.909753,0.496350
0,0.2100,0.915575,0.530414
0,0.2000,0.918486,0.535280
0,0.1900,0.927220,0.542579
0,0.1800,0.933042,0.571776
0,0.1700,0.943231,0.581509
0,0.1600,0.957787,0.596107
0,0.1500,0.962154,0.613139
0,0.1400,0.970888,0.639903
0,0.1300,0.978166,0.669100
0,0.1200,0.982533,0.676399
0,0.1100,0.983988,0.705596
0,0.1000,0.983988,0.725061
0,0.0900,0.988355,0.761557
0,0.0800,0.989811,0.793187
0,0.0700,0.989811,0.836983
0,0.0600,0.995633,0.858881
0,0.0500,0.997089,0.883212
0,0.0400,0.997089,0.905109
0,0.0300,0.998544,0.924574
0,0.0200,0.998544,0.944039
0,0.0100,0.998544,0.980535
0,0.0000,1.000000,1.000000
1,1.0000,0.000000,0.000000
1,0.9900,0.000000,0.001044
1,0.9800,0.000000,0.001044
1,0.9700,0.000000,0.001044
1,0.9600,0.000000,0.002088
1,0.9500,0.000000,0.002088
1,0.9400,0.007143,0.004175
1,0.9300,0.007143,0.004175
1,0.9200,0.007143,0.004175
1,0.9100,0.014286,0.004175
1,0.9000,0.014286,0.004175
1,0.8900,0.014286,0.004175
1,0.8800,0.014286,0.004175
1,0.8700,0.014286,0.004175
1,0.8600,0.014286,0.004175
1,0.8500,0.028571,0.005219
1,0.8400,0.028571,0.007307
1,0.8300,0.028571,0.007307
1,0.8200,0.028571,0.007307
1,0.8100,0.028571,0.007307
1,0.8000,0.035714,0.009395
1,0.7900,0.042857,0.010438
1,0.7800,0.042857,0.011482
1,0.7700,0.042857,0.012526
1,0.7600,0.042857,0.012526
1,0.7500,0.042857,0.013570
1,0.7400,0.042857,0.013570
1,0.7300,0.050000,0.013570
1,0.7200,0.057143,0.013570
1,0.7100,0.071429,0.013570
1,0.7000,0.071429,0.014614
1,0.6900,0.078571,0.015658
1,0.6800,0.078571,0.016701
1,0.6700,0.078571,0.016701
1,0.6600,0.085714,0.017745
1,0.6500,0.100000,0.017745
1,0.6400,0.100000,0.018789
1,0.6300,0.100000,0.018789
1,0.6200,0.100000,0.018789
1,0.6100,0.100000,0.018789
1,0.6000,0.100000,0.018789
1,0.5900,0.100000,0.019833
1,0.5800,0.114286,0.019833
1,0.5700,0.114286,0.019833
1,0.5600,0.121429,0.020877
1,0.5500,0.121429,0.020877
1,0.5400,0.128571,0.020877
1,0.5300,0.157143,0.021921
1,0.5200,0.164286,0.021921
1,0.5100,0.171429,0.022965
1,0.5000,0.178571,0.025052
1,0.4900,0.178571,0.026096
1,0.4800,0.192857,0.027140
1,0.4700,0.207143,0.030271
1,0.4600,0.207143,0.031315
1,0.4500,0.221429,0.034447
1,0.4400,0.221429,0.035491
1,0.4300,0.221429,0.035491
1,0.4200,0.228571,0.036534
1,0.4100,0.228571,0.036534
1,0.4000,0.250000,0.038622
1,0.3900,0.250000,0.041754
1,0.3800,0.257143,0.042797
1,0.3700,0.257143,0.044885
1,0.3600,0.271429,0.050104
1,0.3500,0.285714,0.051148
1,0.3400,0.292857,0.060543
1,0.3300,0.307143,0.067850
1,0.3200,0.307143,0.070981
1,0.3100,0.335714,0.079332
1,0.3000,0.364286,0.086639
1,0.2900,0.378571,0.093946
1,0.2800,0.407143,0.101253
1,0.2700,0.435714,0.107516
1,0.2600,0.457143,0.117954
1,0.2500,0.471429,0.127349
1,0.2400,0.507143,0.145094
1,0.2300,0.528571,0.162839
1,0.2200,0.535714,0.172234
1,0.2100,0.542857,0.193111
1,0.2000,0.550000,0.207724
1,0.1900,0.585714,0.233820
1,0.1800,0.600000,0.250522
1,0.1700,0.635714,0.270355
1,0.1600,0.642857,0.296451
1,0.1500,0.657143,0.316284
1,0.1400,0.678571,0.337161
1,0.1300,0.700000,0.365344
1,0.1200,0.721429,0.389353
1,0.1100,0.735714,0.417537
1,0.1000,0.778571,0.459290
1,0.0900,0.807143,0.498956
1,0.0800,0.828571,0.531315
1,0.0700,0.857143,0.577244
1,0.0600,0.878571,0.624217
1,0.0500,0.907143,0.655532
1,0.0400,0.914286,0.702505
1,0.0300,0.942857,0.774530
1,0.0200,0.971429,0.829854
1,0.0100,0.978571,0.915449
1,0.0000,1.000000,1.000000
2,1.0000,0.000000,0.000000
2,0.9900,0.000000,0.000000
2,0.9800,0.000000,0.000993
2,0.9700,0.000000,0.000993
2,0.9600,0.000000,0.000993
2,0.9500,0.000000,0.000993
2,0.9400,0.000000,0.000993
2,0.9300,0.000000,0.001986
2,0.9200,0.000000,0.001986
2,0.9100,0.000000,0.001986
2,0.9000,0.000000,0.001986
2,0.8900,0.000000,0.001986
2,0.8800,0.000000,0.001986
2,0.8700,0.000000,0.001986
2,0.8600,0.000000,0.001986
2,0.8500,0.000000,0.001986
2,0.8400,0.000000,0.001986
2,0.8300,0.000000,0.001986
2,0.8200,0.000000,0.001986
2,0.8100,0.000000,0.001986
2,0.8000,0.000000,0.001986
2,0.7900,0.000000,0.001986
2,0.7800,0.000000,0.001986
2,0.7700,0.000000,0.001986
2,0.7600,0.000000,0.001986
2,0.7500,0.010989,0.001986
2,0.7400,0.010989,0.001986
2,0.7300,0.010989,0.001986
2,0.7200,0.010989,0.001986
2,0.7100,0.010989,0.001986
2,0.7000,0.010989,0.002979
2,0.6900,0.010989,0.002979
2,0.6800,0.010989,0.002979
2,0.6700,0.010989,0.002979
2,0.6600,0.010989,0.003972
2,0.6500,0.010989,0.004965
2,0.6400,0.010989,0.004965
2,0.6300,0.010989,0.005958
2,0.6200,0.010989,0.005958
2,0.6100,0.010989,0.006951
2,0.6000,0.010989,0.006951
2,0.5900,0.021978,0.006951
2,0.5800,0.021978,0.008937
2,0.5700,0.032967,0.008937
2,0.5600,0.054945,0.009930
2,0.5500,0.054945,0.009930
2,0.5400,0.065934,0.009930
2,0.5300,0.076923,0.010924
2,0.5200,0.076923,0.010924
2,0.5100,0.076923,0.010924
2,0.5000,0.076923,0.010924
2,0.4900,0.076923,0.011917
2,0.4800,0.087912,0.013903
2,0.4700,0.098901,0.014896
2,0.4600,0.098901,0.016882
2,0.4500,0.098901,0.018868
2,0.4400,0.109890,0.020854
2,0.4300,0.109890,0.021847
2,0.4200,0.109890,0.021847
2,0.4100,0.109890,0.023833
2,0.4000,0.131868,0.024826
2,0.3900,0.142857,0.025819
2,0.3800,0.142857,0.027805
2,0.3700,0.142857,0.030785
2,0.3600,0.142857,0.032771
2,0.3500,0.142857,0.036743
2,0.3400,0.175824,0.039722
2,0.3300,0.186813,0.042701
2,0.3200,0.197802,0.044687
2,0.3100,0.197802,0.050645
2,0.3000,0.197802,0.060576
2,0.2900,0.230769,0.066534
2,0.2800,0.241758,0.080437
2,0.2700,0.263736,0.087388
2,0.2600,0.285714,0.092354
2,0.2500,0.329670,0.097319
2,0.2400,0.373626,0.109235
2,0.2300,0.395604,0.124131
2,0.2200,0.406593,0.136048
2,0.2100,0.417582,0.155909
2,0.2000,0.439560,0.171797
2,0.1900,0.461538,0.195631
2,0.1800,0.472527,0.218471
2,0.1700,0.516484,0.245283
2,0.1600,0.549451,0.264151
2,0.1500,0.582418,0.287984
2,0.1400,0.604396,0.312810
2,0.1300,0.626374,0.337637
2,0.1200,0.648352,0.368421
2,0.1100,0.681319,0.411122
2,0.1000,0.692308,0.449851
2,0.0900,0.714286,0.481629
2,0.0800,0.714286,0.524330
2,0.0700,0.747253,0.567031
2,0.0600,0.758242,0.603774
2,0.0500,0.802198,0.640516
2,0.0400,0.835165,0.690169
2,0.0300,0.846154,0.756703
2,0.0200,0.923077,0.825223
2,0.0100,0.945055,0.895730
2,0.0000,1.000000,1.000000
3,1.0000,0.000000,0.000000
3,0.9900,0.000000,0.000000
3,0.9800,0.000000,0.000000
3,0.9700,0.000000,0.000000
3,0.9600,0.000000,0.000000
3,0.9500,0.000000,0.000000
3,0.9400,0.000000,0.000000
3,0.9300,0.000000,0.000000
3,0.9200,0.000000,0.000000
3,0.9100,0.000000,0.000000
3,0.9000,0.000000,0.000000
3,0.8900,0.000000,0.001014
3,0.8800,0.000000,0.001014
3,0.8700,0.000000,0.002028
3,0.8600,0.000000,0.002028
3,0.8500,0.000000,0.002028
3,0.8400,0.000000,0.002028
3,0.8300,0.000000,0.003043
3,0.8200,0.000000,0.003043
3,0.8100,0.000000,0.003043
3,0.8000,0.000000,0.003043
3,0.7900,0.000000,0.003043
3,0.7800,0.000000,0.003043
3,0.7700,0.000000,0.005071
3,0.7600,0.000000,0.005071
3,0.7500,0.000000,0.006085
3,0.7400,0.000000,0.007099
3,0.7300,0.000000,0.007099
3,0.7200,0.000000,0.007099
3,0.7100,0.000000,0.009128
3,0.7000,0.008929,0.010142
3,0.6900,0.008929,0.010142
3,0.6800,0.008929,0.012170
3,0.6700,0.008929,0.013185
3,0.6600,0.008929,0.013185
3,0.6500,0.008929,0.014199
3,0.6400,0.026786,0.015213
3,0.6300,0.026786,0.015213
3,0.6200,0.026786,0.016227
3,0.6100,0.035714,0.016227
3,0.6000,0.035714,0.018256
3,0.5900,0.035714,0.020284
3,0.5800,0.035714,0.021298
3,0.5700,0.035714,0.022312
3,0.5600,0.053571,0.022312
3,0.5500,0.053571,0.022312
3,0.5400,0.053571,0.022312
3,0.5300,0.062500,0.022312
3,0.5200,0.071429,0.024341
3,0.5100,0.071429,0.026369
3,0.5000,0.071429,0.029412
3,0.4900,0.071429,0.029412
3,0.4800,0.089286,0.029412
3,0.4700,0.098214,0.030426
3,0.4600,0.098214,0.032454
3,0.4500,0.116071,0.033469
3,0.4400,0.116071,0.033469
3,0.4300,0.116071,0.034483
3,0.4200,0.116071,0.035497
3,0.4100,0.125000,0.036511
3,0.4000,0.125000,0.037525
3,0.3900,0.133929,0.041582
3,0.3800,0.133929,0.045639
3,0.3700,0.151786,0.047667
3,0.3600,0.160714,0.052738
3,0.3500,0.178571,0.058824
3,0.3400,0.214286,0.066937
3,0.3300,0.232143,0.072008
3,0.3200,0.232143,0.078093
3,0.3100,0.250000,0.086207
3,0.3000,0.258929,0.094320
