fold,vowel,network,class,safe,borderline,noise
0,0,master,0,494,51,4
0,0,master,1,0,0,0
0,0,expert,0,0,0,0
0,0,expert,1,322,277,49
0,0,expert,2,451,305,45
0,0,expert,3,207,239,40
0,1,master,0,485,61,3
0,1,master,1,0,0,0
0,1,expert,0,0,0,0
0,1,expert,1,298,302,48
0,1,expert,2,378,382,41
0,1,expert,3,201,252,33
0,2,master,0,498,51,0
0,2,master,1,0,0,0
0,2,expert,0,0,0,0
0,2,expert,1,278,308,62
0,2,expert,2,426,338,37
0,2,expert,3,206,226,54
1,0,master,0,504,40,5
1,0,master,1,0,0,0
1,0,expert,0,0,0,0
1,0,expert,1,311,305,41
1,0,expert,2,441,318,42
1,0,expert,3,228,222,36
1,1,master,0,488,59,2
1,1,master,1,0,0,0
1,1,expert,0,0,0,0
1,1,expert,1,276,342,39
1,1,expert,2,348,406,47
1,1,expert,3,230,224,32
1,2,master,0,486,58,5
1,2,master,1,0,0,0
1,2,expert,0,0,0,0
1,2,expert,1,277,330,50
1,2,expert,2,426,333,42
1,2,expert,3,206,219,61
2,0,master,0,489,57,4
2,0,master,1,0,0,0
2,0,expert,0,0,0,0
2,0,expert,1,312,294,51
2,0,expert,2,446,331,33
2,0,expert,3,233,211,42
2,1,master,0,484,63,3
2,1,master,1,0,0,0
2,1,expert,0,0,0,0
2,1,expert,1,287,330,40
2,1,expert,2,363,399,48
2,1,expert,3,221,233,32
2,2,master,0,481,65,4
2,2,master,1,0,0,0
2,2,expert,0,0,0,0
2,2,expert,1,290,325,42
2,2,expert,2,400,375,35
2,2,expert,3,203,228,55
3,0,master,0,481,67,2
3,0,master,1,0,0,0
3,0,expert,0,0,0,0
3,0,expert,1,305,300,52
3,0,expert,2,454,326,30
3,0,expert,3,229,217,49
3,1,master,0,471,76,3
3,1,master,1,0,0,0
3,1,expert,0,0,0,0
3,1,expert,1,294,320,43
3,1,expert,2,384,374,52
3,1,expert,3,230,233,32
3,2,master,0,493,55,2
3,2,master,1,0,0,0
3,2,expert,0,0,0,0
3,2,expert,1,290,330,37
3,2,expert,2,440,323,47
3,2,expert,3,223,221,51
4,0,master,0,490,54,6
4,0,master,1,0,0,0
4,0,expert,0,0,0,0
4,0,expert,1,319,285,53
4,0,expert,2,418,352,40
4,0,expert,3,207,238,50
4,1,master,0,492,55,3
4,1,master,1,0,0,0
4,1,expert,0,0,0,0
4,1,expert,1,284,331,42
4,1,expert,2,369,400,41
4,1,expert,3,201,246,48
4,2,master,0,480,67,3
4,2,master,1,0,0,0
4,2,expert,0,0,0,0
4,2,expert,1,287,320,50
4,2,expert,2,418,349,43
4,2,expert,3,191,246,58
