fold,vowel,network,class,safe,borderline,noise
0,0,master,0,494,51,4
0,0,master,1,0,0,0
0,0,expert,0,0,0,0
0,0,expert,1,313,285,50
0,0,expert,2,449,314,38
0,0,expert,3,205,235,46
0,1,master,0,485,61,3
0,1,master,1,0,0,0
0,1,expert,0,0,0,0
0,1,expert,1,300,297,51
0,1,expert,2,382,376,43
0,1,expert,3,199,248,39
0,2,master,0,498,51,0
0,2,master,1,0,0,0
0,2,expert,0,0,0,0
0,2,expert,1,275,321,52
0,2,expert,2,438,329,34
0,2,expert,3,203,232,51
1,0,master,0,504,40,5
1,0,master,1,0,0,0
1,0,expert,0,0,0,0
1,0,expert,1,308,305,44
1,0,expert,2,434,331,36
1,0,expert,3,234,212,40
1,1,master,0,488,59,2
1,1,master,1,0,0,0
1,1,expert,0,0,0,0
1,1,expert,1,279,333,45
1,1,expert,2,345,414,42
1,1,expert,3,233,222,31
1,2,master,0,486,58,5
1,2,master,1,0,0,0
1,2,expert,0,0,0,0
1,2,expert,1,275,338,44
1,2,expert,2,441,319,41
1,2,expert,3,203,229,54
2,0,master,0,489,57,4
2,0,master,1,0,0,0
2,0,expert,0,0,0,0
2,0,expert,1,313,301,43
2,0,expert,2,448,337,25
2,0,expert,3,232,214,40
2,1,master,0,484,63,3
2,1,master,1,0,0,0
2,1,expert,0,0,0,0
2,1,expert,1,286,324,47
2,1,expert,2,361,408,41
2,1,expert,3,218,234,34
2,2,master,0,481,65,4
2,2,master,1,0,0,0
2,2,expert,0,0,0,0
2,2,expert,1,289,325,43
2,2,expert,2,404,368,38
2,2,expert,3,200,228,58
3,0,master,0,481,67,2
3,0,master,1,0,0,0
3,0,expert,0,0,0,0
3,0,expert,1,298,310,49
3,0,expert,2,449,329,32
3,0,expert,3,233,213,49
3,1,master,0,471,76,3
3,1,master,1,0,0,0
3,1,expert,0,0,0,0
3,1,expert,1,301,317,39
3,1,expert,2,380,383,47
3,1,expert,3,220,234,41
3,2,master,0,493,55,2
3,2,master,1,0,0,0
3,2,expert,0,0,0,0
3,2,expert,1,285,331,41
3,2,expert,2,444,321,45
3,2,expert,3,217,226,52
4,0,master,0,490,54,6
4,0,master,1,0,0,0
4,0,expert,0,0,0,0
4,0,expert,1,306,295,56
4,0,expert,2,411,364,35
4,0,expert,3,206,236,53
4,1,master,0,492,55,3
4,1,master,1,0,0,0
4,1,expert,0,0,0,0
4,1,expert,1,288,324,45
4,1,expert,2,377,392,41
4,1,expert,3,205,234,56
4,2,master,0,480,67,3
4,2,master,1,0,0,0
4,2,expert,0,0,0,0
4,2,expert,1,283,331,43
4,2,expert,2,421,346,43
4,2,expert,3,188,248,59
